# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "5",
#    "detectorUnit": "MeV/g",
#    "dettyp": "DOSE",
#    "name": "DOSE",
#    "pageDiffUnits": "MeV/g",
#    "pageNormalized": "2",
#    "pageNumber": "2",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[40 40 40]",
#    "unit": "MeV/g/prim"
#}
# --------------------------------
Position (X) [cm], DOSE [MeV/g/prim]
0.03500000000000014, 1.3230411441568264
0.04499999999999993, 1.3342419518989548
0.05500000000000016, 1.3148579917865735
0.06499999999999995, 1.2897886854071747
0.07499999999999973, 1.3051164804622197
0.08499999999999996, 1.28038190202585
0.09499999999999975, 1.2820715177414244
0.10499999999999998, 1.281091897161238
0.11499999999999977, 1.285435193317013
0.125, 1.255620801332347
0.1349999999999998, 1.278792463487657
0.14500000000000002, 1.2934673774054037
0.1549999999999998, 1.2606616761650709
0.16500000000000004, 1.2569960970323852
0.17499999999999982, 1.2675650134223737
0.18500000000000005, 1.2633628702184008
0.19499999999999984, 1.251597578500593
0.20500000000000007, 1.2266967891146832
0.21499999999999986, 1.228517549099075
0.2250000000000001, 1.2212816225785255
0.23499999999999988, 1.207080118962128
0.2450000000000001, 1.2137891681087685
0.2549999999999999, 1.2276624802951126
0.2650000000000001, 1.2241267478243907
0.2749999999999999, 1.215257483169688
0.28500000000000014, 1.1935626790516938
0.29499999999999993, 1.1799695599010254
0.30500000000000016, 1.1889812347302706
0.31499999999999995, 1.180772921620987
0.32499999999999973, 1.203586882041207
0.33499999999999996, 1.162077128887317
0.34499999999999975, 1.1519772724647617
0.355, 1.1777198939076237
0.36499999999999977, 1.1559357348889516
0.375, 1.1803963009473595
0.3849999999999998, 1.1948334072253193
0.395, 1.1544348126928587
0.4049999999999998, 1.1577732845836095
0.41500000000000004, 1.160151130371918
0.4249999999999998, 1.157257758261024
0.43500000000000005, 1.139863418881244
0.44499999999999984, 1.1347504204850352
0.45500000000000007, 1.142565366694361
0.46499999999999986, 1.1390854032765136
0.4750000000000001, 1.1277900121988478
0.4849999999999999, 1.1314702250033073
0.4950000000000001, 1.1366858835117786
0.5049999999999999, 1.126818345288929
0.5150000000000001, 1.1097227922393358
0.5249999999999999, 1.1113171950772787
0.5350000000000001, 1.1217941626344201
0.5449999999999999, 1.121560612888668
0.5550000000000002, 1.1266704475892466
0.565, 1.1160802413427124
0.5750000000000002, 1.1060706645750618
0.585, 1.1022635459491639
0.5949999999999998, 1.1040760548033188
0.605, 1.081124747094151
0.6149999999999998, 1.0738825779738483
0.625, 1.0921039884556005
0.6349999999999998, 1.0923837144766384
0.645, 1.0748778409302848
0.6549999999999998, 1.0854340551316293
0.665, 1.0716330516619046
0.6749999999999998, 1.0709958763947423
0.685, 1.0556204397854876
