# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "8",
#    "detectorUnit": "MeV",
#    "dettyp": "AVG-ENERGY",
#    "name": "AVG-ENERGY",
#    "pageDiffUnits": "MeV",
#    "pageFilterName": "Protons",
#    "pageNormalized": "3",
#    "pageNumber": "1",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[70 70 70]",
#    "unit": "MeV"
#}
# --------------------------------
Position (X) [cm], AVG-ENERGY [MeV]
0.08499999999999996, 36.38946929882106
0.09499999999999975, 36.57457987028037
0.10499999999999998, 36.757392022853715
0.11499999999999977, 36.958225422133424
0.125, 37.08582391492015
0.1349999999999998, 37.30700804715498
0.14500000000000002, 37.487727338795466
0.1549999999999998, 37.691126367491044
0.16500000000000004, 37.83316823481674
0.17499999999999982, 38.06437232622899
0.18500000000000005, 38.18581061510612
0.19499999999999984, 38.38227621558873
0.20500000000000007, 38.507229005861156
0.21499999999999986, 38.72260364826618
0.2250000000000001, 38.99619690453398
0.23499999999999988, 39.10124614723553
0.2450000000000001, 39.29453043413683
0.2549999999999999, 39.44441249446381
0.2650000000000001, 39.63740025148034
0.2749999999999999, 39.7973922100609
0.28500000000000014, 39.97283103735947
0.29499999999999993, 40.1210997201004
0.30500000000000016, 40.30868100408111
0.31499999999999995, 40.46848291822329
0.32499999999999973, 40.684583691841695
0.33499999999999996, 40.87623361458696
0.34499999999999975, 41.03560590659879
0.355, 41.17905725408785
0.36499999999999977, 41.331782097480996
0.375, 41.50680055199114
0.3849999999999998, 41.6746133928331
0.395, 41.829445471980804
0.4049999999999998, 41.99587425508177
0.41500000000000004, 42.16050845485453
0.4249999999999998, 42.31167926851384
0.43500000000000005, 42.515913938699704
0.44499999999999984, 42.63680345305971
0.45500000000000007, 42.803627474765555
0.46499999999999986, 43.01357677416081
0.4750000000000001, 43.15526250905024
0.4849999999999999, 43.32757010502322
0.4950000000000001, 43.52702439905264
0.5049999999999999, 43.7005847914357
0.5150000000000001, 43.82956440968282
0.5249999999999999, 44.00338041309187
0.5350000000000001, 44.1501206589214
0.5449999999999999, 44.30407949741631
0.5550000000000002, 44.451880699038114
0.565, 44.64216052109544
0.5750000000000002, 44.76850318703286
0.585, 44.95097972256725
0.5949999999999998, 45.12660972888955
0.605, 45.27138781637921
0.6149999999999998, 45.438733048951484
0.625, 45.566349607905224
0.6349999999999998, 45.7212185678183
0.645, 45.8805573278979
0.6549999999999998, 46.04928916697401
0.665, 46.19780421234219
0.6749999999999998, 46.36278061501012
0.685, 46.523091808619505
0.6949999999999998, 46.674730457118635
0.7050000000000001, 46.78721955911754
0.7149999999999999, 46.93222919530518
0.7250000000000001, 47.10156766905378
0.7349999999999999, 47.24868952952891
